CustomerID,Customer,Segment,CityID
1,Amina Muhammad,Consumer,1
2,Habibullah Nazir,Consumer,1
3,Hassan Akbar,Consumer,1
4,Hayatullah Khwaja,Consumer,1
5,Hussein Mira,Consumer,1
6,Ibrahim Musa,Consumer,1
7,Ismail Juma,Consumer,1
8,Karima Malik,Consumer,1
9,Lali Shafi,Consumer,1
10,Mahbooba Shafi,Consumer,1
11,Marzieh Faizullah,Consumer,1
12,Nazia Hassan,Consumer,1
13,Nazifa Nimatullah,Consumer,1
14,Raazyaah Qurban,Consumer,1
15,Ruhollah David,Consumer,1
16,Saeed Ishaq,Consumer,1
17,Safia Nawab,Consumer,1
18,Shazia Jamaah,Consumer,1
19,Shima Habib-Ur-Rehman,Consumer,1
20,Wahidullah Rahmatullah,Consumer,1
21,Humaira Wazeer,Consumer,2
22,Ibrahim Janat,Consumer,2
23,Nasrullah Daulat,Consumer,2
24,Saeed Jalaluddin,Consumer,2
25,Abdul Bismillah,Consumer,3
26,Cecilia Romero,Consumer,4
27,Adrian Ibarra,Consumer,5
28,Agustin Lescano,Consumer,5
29,Aldo Monzon,Consumer,5
30,Analia Martin,Consumer,5
31,Antonio Ibarra,Consumer,5
32,Blanca Guzman,Consumer,5
33,Carina Quintana,Consumer,5
34,Carlos Almiron,Consumer,5
35,Carlos Peralta,Consumer,5
36,Cesar Duarte,Consumer,5
37,David Villegas,Consumer,5
38,Elba Ledesma,Consumer,5
39,Elvira Torres,Consumer,5
40,Ernesto Bazan,Consumer,5
41,Esther Vazquez,Consumer,5
42,Eva Juarez,Consumer,5
43,Fabian Gauna,Consumer,5
44,Francisca Suarez,Consumer,5
45,Gerardo Acevedo,Consumer,5
46,Gerardo Velazquez,Consumer,5
47,German Contreras,Consumer,5
48,Gladys Herrera,Consumer,5
49,Gregorio Sosa,Consumer,5
50,Hernan Valdez,Consumer,5
51,Hilda Reyes,Consumer,5
52,Ignacio Contreras,Consumer,5
53,Jesus Orellana,Consumer,5
54,Jesus Vergara,Consumer,5
55,Jorge Mansilla,Consumer,5
56,Jose Coronel,Consumer,5
57,Juan Ibarra,Consumer,5
58,Julio Benitez,Consumer,5
59,Julio Fernandez,Consumer,5
60,Leonardo Zapata,Consumer,5
61,Lorena Ayala,Consumer,5
62,Lucas Barrera,Consumer,5
63,Luisa Jimenez,Consumer,5
64,Marcela Aranda,Consumer,5
65,Mariana Rivas,Consumer,5
66,Mercedes Gomez,Consumer,5
67,Mercedes Lopez,Consumer,5
68,Miguel Cordoba,Consumer,5
69,Monica Vazquez,Consumer,5
70,Nancy Maciel,Consumer,5
71,Natalia Jara,Consumer,5
72,Natalia Jimenez,Consumer,5
73,Nestor Sandoval,Consumer,5
74,Nilda Diaz,Consumer,5
75,Noemi Mamani,Consumer,5
76,Norberto Ruiz,Consumer,5
77,Norma Olivera,Consumer,5
78,Norma Robles,Consumer,5
79,Orlando Mendoza,Consumer,5
80,Paula Gauna,Consumer,5
81,Ramon Barrios,Consumer,5
82,Ramon Varela,Consumer,5
83,Ramona Ortega,Consumer,5
84,Raquel Vazquez,Consumer,5
85,Raul Aquino,Consumer,5
86,Rodolfo Carrizo,Consumer,5
87,Rosana Alegre,Consumer,5
88,Roxana Funes,Consumer,5
89,Sebastian Ramirez,Consumer,5
90,Sebastian Silva,Consumer,5
91,Susana Carrizo,Consumer,5
92,Valeria Roldan,Consumer,5
93,Veronica Vera,Consumer,5
94,Viviana Mendez,Consumer,5
95,Josefa Duarte,Consumer,6
96,Mabel Rosales,Consumer,6
97,Olga Vera,Consumer,6
98,Adolfo Gonzalez,Consumer,7
99,Adolfo Perez,Consumer,7
100,Adriana Caballero,Consumer,7
101,Agustin Montenegro,Consumer,7
102,Alejandra Sosa,Consumer,7
103,Ana Maldonado,Consumer,7
104,Andrea Gallo,Consumer,7
105,Angelica Diaz,Consumer,7
106,Ariel Gonzalez,Consumer,7
107,Beatriz Mamani,Consumer,7
108,Cecilia Monzon,Consumer,7
109,Claudia Palacios,Consumer,7
110,Claudio Galvan,Consumer,7
111,Claudio Quintana,Consumer,7
112,Cristian Baez,Consumer,7
113,Cristina Aguilar,Consumer,7
114,Daniel Gauna,Consumer,7
115,Daniela Suarez,Consumer,7
116,Delia Vergara,Consumer,7
117,Domingo Ruiz,Consumer,7
118,Edgardo Ponce,Consumer,7
119,Elida Escobar,Consumer,7
120,Elvira Cortez,Consumer,7
121,Esther Gutierrez,Consumer,7
122,Eva Godoy,Consumer,7
123,Fabian Maidana,Consumer,7
124,Federico Suarez,Consumer,7
125,Felipe Farias,Consumer,7
126,Felix Mansilla,Consumer,7
127,Gabriela Torres,Consumer,7
128,German Acosta,Consumer,7
129,Griselda Villarreal,Consumer,7
130,Guillermo Lescano,Consumer,7
131,Gustavo Salinas,Consumer,7
132,Hector Nieto,Consumer,7
133,Hector Perez,Consumer,7
134,Hernan Suarez,Consumer,7
135,Hilda Lezcano,Consumer,7
136,Hilda Quinteros,Consumer,7
137,Humberto Rivero,Consumer,7
138,Irma Aguirre,Consumer,7
139,Javier Muñoz,Consumer,7
140,Jorge Acevedo,Consumer,7
141,Jorge Fuentes,Consumer,7
142,Jorge Palavecino,Consumer,7
143,Jose Villarreal,Consumer,7
144,Karina Aguero,Consumer,7
145,Karina Miranda,Consumer,7
146,Karina Moyano,Consumer,7
147,Leonardo Duarte,Consumer,7
148,Leonardo Nuñez,Consumer,7
149,Lorena Gallardo,Consumer,7
150,Lucia Vera,Consumer,7
151,Marcela Quintana,Consumer,7
152,Margarita Peralta,Consumer,7
153,Mariano Miranda,Consumer,7
154,Mario Zalazar,Consumer,7
155,Marisa Acosta,Consumer,7
156,Marisa Gauna,Consumer,7
157,Mercedes Acevedo,Consumer,7
158,Miguel Rios,Consumer,7
159,Monica Miño,Consumer,7
160,Nancy Delgado,Consumer,7
161,Natalia Caballero,Consumer,7
162,Nestor Gimenez,Consumer,7
163,Nestor Villarreal,Consumer,7
164,Nilda Bustos,Consumer,7
165,Nilda Ojeda,Consumer,7
166,Nora Espindola,Consumer,7
167,Norma Garay,Consumer,7
168,Norma Soria,Consumer,7
169,Olga Reyes,Consumer,7
170,Pablo Sotelo,Consumer,7
171,Patricia Bazan,Consumer,7
172,Rafael Paredes,Consumer,7
173,Ramon Burgos,Consumer,7
174,Raquel Molina,Consumer,7
175,Raquel Ocampo,Consumer,7
176,Ricardo Mendoza,Consumer,7
177,Romina Avila,Consumer,7
178,Romina Ortiz,Consumer,7
179,Rosa Paez,Consumer,7
180,Rosana Rosales,Consumer,7
181,Ruben Gauna,Consumer,7
182,Sara Reyes,Consumer,7
183,Segundo Lescano,Consumer,7
184,Silvina Heredia,Consumer,7
185,Teresa Sosa,Consumer,7
186,Vanesa Marquez,Consumer,7
187,Veronica Garcia,Consumer,7
188,Viviana Sandoval,Consumer,7
189,Walter Oliva,Consumer,7
190,Yolanda Jimenez,Consumer,7
191,Adolfo Fuentes,Consumer,8
192,Adolfo Vazquez,Consumer,8
193,Adrian Cortez,Consumer,8
194,Adrian Palacios,Consumer,8
195,Agustin Mamani,Consumer,8
196,Alejandra Torres,Consumer,8
197,Alejandro Cabrera,Consumer,8
198,Alejandro Quinteros,Consumer,8
199,Alfredo Escobar,Consumer,8
200,Amalia Miño,Consumer,8
201,Amalia Salas,Consumer,8
202,Ana Bravo,Consumer,8
203,Analia Palacios,Consumer,8
204,Analia Roldan,Consumer,8
205,Andrea Avalos,Consumer,8
206,Andrea Pacheco,Consumer,8
207,Andres Zalazar,Consumer,8
208,Antonia Castro,Consumer,8
209,Antonia Cortez,Consumer,8
210,Ariel Gutierrez,Consumer,8
211,Ariel Lezcano,Consumer,8
212,Armando Farias,Consumer,8
213,Armando Molina,Consumer,8
214,Beatriz Blanco,Consumer,8
215,Beatriz Montenegro,Consumer,8
216,Beatriz Ruiz,Consumer,8
217,Blanca Alarcon,Consumer,8
218,Blanca Valdez,Consumer,8
219,Carina Cejas,Consumer,8
220,Carlos Guerrero,Consumer,8
221,Carlos Quintana,Consumer,8
222,Carmen Franco,Consumer,8
223,Catalina Frias,Consumer,8
224,Cecilia Avalos,Consumer,8
225,Cecilia Ibarra,Consumer,8
226,Claudia Nieva,Consumer,8
227,Claudia Sanchez,Consumer,8
228,Claudio Romero,Consumer,8
229,Cristina Cortez,Consumer,8
230,Cristina Maldonado,Consumer,8
231,Cristina Soto,Consumer,8
232,Daniel Castro,Consumer,8
233,Daniela Bustamante,Consumer,8
234,Dario Ceballos,Consumer,8
235,Dario Juarez,Consumer,8
236,Dario Lescano,Consumer,8
237,Dario Molina,Consumer,8
238,Diego Vazquez,Consumer,8
239,Domingo Lucero,Consumer,8
240,Edgardo Mendoza,Consumer,8
241,Eduardo Cortez,Consumer,8
242,Eduardo Robles,Consumer,8
243,Elba Franco,Consumer,8
244,Elba Guzman,Consumer,8
245,Elba Nuñez,Consumer,8
246,Elba Ocampo,Consumer,8
247,Elida Acevedo,Consumer,8
248,Elida Dominguez,Consumer,8
249,Elida Perez,Consumer,8
250,Elisa Gallardo,Consumer,8
251,Elsa Galarza,Consumer,8
252,Elvira Guzman,Consumer,8
253,Enrique Miño,Consumer,8
254,Ernesto Gauna,Consumer,8
255,Estela Avila,Consumer,8
256,Estela Sanchez,Consumer,8
257,Esther Moreno,Consumer,8
258,Esther Rossi,Consumer,8
259,Eva Oviedo,Consumer,8
260,Fabian Heredia,Consumer,8
261,Fabian Reyes,Consumer,8
262,Federico Tapia,Consumer,8
263,Felipe Leguizamon,Consumer,8
264,Felipe Ortega,Consumer,8
265,Francisco Espindola,Consumer,8
266,Francisco Sotelo,Consumer,8
267,Francisco Soto,Consumer,8
268,Gabriel Mansilla,Consumer,8
269,Gabriela Altamirano,Consumer,8
270,Gabriela Meza,Consumer,8
271,Gabriela Pacheco,Consumer,8
272,Gabriela Quintana,Consumer,8
273,Gerardo Ibarra,Consumer,8
274,Gladys Medina,Consumer,8
275,Gloria Silva,Consumer,8
276,Graciela Carabajal,Consumer,8
277,Graciela Velazquez,Consumer,8
278,Gregorio Diaz,Consumer,8
279,Gustavo Ramos,Consumer,8
280,Hector Gauna,Consumer,8
281,Hector Soto,Consumer,8
282,Hernan Acevedo,Consumer,8
283,Hilda Palavecino,Consumer,8
284,Hugo Villalba,Consumer,8
285,Humberto Maidana,Consumer,8
286,Humberto Rojas,Consumer,8
287,Irma Calderon,Consumer,8
288,Jesus Acevedo,Consumer,8
289,Jesus Delgado,Consumer,8
290,Jesus Herrera,Consumer,8
291,Jose Baez,Consumer,8
292,Jose Reyes,Consumer,8
293,Josefa Calderon,Consumer,8
294,Juana Ramos,Consumer,8
295,Karina Gonzalez,Consumer,8
296,Karina Santillan,Consumer,8
297,Laura Albornoz,Consumer,8
298,Laura Miño,Consumer,8
299,Leonardo Veron,Consumer,8
300,Lidia Guzman,Consumer,8
301,Lucas Duarte,Consumer,8
302,Lucia Ruiz,Consumer,8
303,Luis Monzon,Consumer,8
304,Luisa Alvarez,Consumer,8
305,Luisa Cejas,Consumer,8
306,Manuel Mercado,Consumer,8
307,Marcos Almiron,Consumer,8
308,Marcos Cortez,Consumer,8
309,Marcos Fernandez,Consumer,8
310,Margarita Lescano,Consumer,8
311,Margarita Maidana,Consumer,8
312,Maria Acuña,Consumer,8
313,Maria Nuñez,Consumer,8
314,Maria Palacios,Consumer,8
315,Mariela Cabrera,Consumer,8
316,Marina Barrionuevo,Consumer,8
317,Marina Cabrera,Consumer,8
318,Mario Robles,Consumer,8
319,Marisa Montenegro,Consumer,8
320,Marta Villegas,Consumer,8
321,Martha Cabrera,Consumer,8
322,Martin Romano,Consumer,8
323,Mauricio Franco,Consumer,8
324,Mauricio Galvan,Consumer,8
325,Miriam Lescano,Consumer,8
326,Miriam Rios,Consumer,8
327,Monica Rossi,Consumer,8
328,Nilda Aguero,Consumer,8
329,Nilda Mercado,Consumer,8
330,Noemi Ramirez,Consumer,8
331,Nora Alarcon,Consumer,8
332,Nora Morales,Consumer,8
333,Norberto Guerrero,Consumer,8
334,Norma Meza,Consumer,8
335,Omar Soto,Consumer,8
336,Osvaldo Cuello,Consumer,8
337,Osvaldo Rossi,Consumer,8
338,Pablo Galarza,Consumer,8
339,Pablo Olivera,Consumer,8
340,Patricia Cardozo,Consumer,8
341,Pedro Baez,Consumer,8
342,Raquel Delgado,Consumer,8
343,Raquel Ortega,Consumer,8
344,Raul Gonzalez,Consumer,8
345,Rita Aguilera,Consumer,8
346,Rita Lezcano,Consumer,8
347,Roberto Miranda,Consumer,8
348,Roberto Pereyra,Consumer,8
349,Rodolfo Caceres,Consumer,8
350,Rodolfo Godoy,Consumer,8
351,Romina Aguilar,Consumer,8
352,Romina Silva,Consumer,8
353,Sara Aguirre,Consumer,8
354,Sara Cardozo,Consumer,8
355,Sebastian Gallardo,Consumer,8
356,Sergio Luna,Consumer,8
